"Target gene symbol","Target gene ID","Target gene type","Target gene exp. level","Binding site records"
"CNTN5","ENSG00000149972","protein_coding","CNTN5","6"
"CNTRL","ENSG00000119397","protein_coding","CNTRL","3"
"COA6","ENSG00000168275","protein_coding","COA6","3"
"COCH","ENSG00000100473","protein_coding","COCH","9"
"COL23A1","ENSG00000050767","protein_coding","COL23A1","2"
"COL4A5","ENSG00000188153","protein_coding","COL4A5","3"
"COLGALT2","ENSG00000198756","protein_coding","COLGALT2","4"
"COPZ1","ENSG00000111481","protein_coding","COPZ1","9"
"COQ6","ENSG00000119723","protein_coding","COQ6","3"
"CORO7","ENSG00000262246","protein_coding","CORO7","6"
"COX11","ENSG00000166260","protein_coding","COX11","5"
"COX4I1","ENSG00000131143","protein_coding","COX4I1","3"
"COX6B1","ENSG00000126267","protein_coding","COX6B1","4"
"COX7B","ENSG00000131174","protein_coding","COX7B","1"
"COX7C","ENSG00000127184","protein_coding","COX7C","3"
"COX8A","ENSG00000176340","protein_coding","COX8A","1"
"CPPED1","ENSG00000103381","protein_coding","CPPED1","3"
"CPSF3L","ENSG00000127054","protein_coding","CPSF3L","7"
"CREBBP","ENSG00000005339","protein_coding","CREBBP","4"
"CREBL2","ENSG00000111269","protein_coding","CREBL2","2"
"CRK","ENSG00000167193","protein_coding","CRK","2"
"CRMP1","ENSG00000072832","protein_coding","CRMP1","1"
"CRTAP","ENSG00000170275","protein_coding","CRTAP","2"
"CRTC3","ENSG00000140577","protein_coding","CRTC3","5"
"CSDE1","ENSG00000009307","protein_coding","CSDE1","41"
"CSE1L","ENSG00000124207","protein_coding","CSE1L","2"
"CSNK2A2","ENSG00000070770","protein_coding","CSNK2A2","3"
"CSNK2B","ENSG00000204435","protein_coding","CSNK2B","4"
"CSNK2B-LY6G5B-1181","ENSG00000263020","protein_coding","CSNK2B-LY6G5B-1181","1"
"CSPP1","ENSG00000104218","protein_coding","CSPP1","3"
"CSTF3","ENSG00000176102","protein_coding","CSTF3","1"
"CTB-57H20.1","ENSG00000249881","sense_overlapping","CTB-57H20.1","1"
"CTBP1","ENSG00000159692","protein_coding","CTBP1","2"
"CTBP2","ENSG00000175029","protein_coding","CTBP2","8"
"CTC-444N24.11","ENSG00000268205","lincRNA","CTC-444N24.11","1"
"CTC1","ENSG00000178971","protein_coding","CTC1","1"
"CTD-2132N18.3","ENSG00000267261","protein_coding","CTD-2132N18.3","3"
"CTD-2151A2.1","ENSG00000249515","lincRNA","CTD-2151A2.1","1"
"CTD-2278I10.6","ENSG00000269307","protein_coding","CTD-2278I10.6","1"
"CTD-2643K12.2","ENSG00000258785","lincRNA","CTD-2643K12.2","2"
"CTD-2651B20.7","ENSG00000259932","sense_intronic","CTD-2651B20.7","1"
"CTD-3032H12.2","ENSG00000259711","lincRNA","CTD-3032H12.2","1"
"CTNNB1","ENSG00000168036","protein_coding","CTNNB1","9"
"CTNND1","ENSG00000198561","protein_coding","CTNND1","32"
"CTSH","ENSG00000103811","protein_coding","CTSH","10"
"CUEDC2","ENSG00000107874","protein_coding","CUEDC2","3"
"CUL4A","ENSG00000139842","protein_coding","CUL4A","4"
"CXXC5","ENSG00000171604","protein_coding","CXXC5","10"
"CYC1","ENSG00000179091","protein_coding","CYC1","1"
"CYFIP1","ENSG00000068793","protein_coding","CYFIP1","5"
"CYP2AB1P","ENSG00000233441","pseudogene","CYP2AB1P","1"
"CYP51A1","ENSG00000001630","protein_coding","CYP51A1","2"
"DARS2","ENSG00000117593","protein_coding","DARS2","1"
"DBF4","ENSG00000006634","protein_coding","DBF4","5"
"DCAF12","ENSG00000198876","protein_coding","DCAF12","3"
"DCP1A","ENSG00000162290","protein_coding","DCP1A","8"
"DCTD","ENSG00000129187","protein_coding","DCTD","5"
"DCTN5","ENSG00000166847","protein_coding","DCTN5","1"
"DDAH1","ENSG00000153904","protein_coding","DDAH1","4"
"DDHD2","ENSG00000085788","protein_coding","DDHD2","3"
"DDR2","ENSG00000162733","protein_coding","DDR2","4"
"DDX17","ENSG00000100201","protein_coding","DDX17","3"
"DDX18","ENSG00000088205","protein_coding","DDX18","3"
"DDX21","ENSG00000165732","protein_coding","DDX21","2"
"DDX23","ENSG00000174243","protein_coding","DDX23","4"
"DDX24","ENSG00000089737","protein_coding","DDX24","5"
"DDX39B","ENSG00000198563","protein_coding","DDX39B","27"
"DDX3X","ENSG00000215301","protein_coding","DDX3X","4"
"DDX42","ENSG00000198231","protein_coding","DDX42","5"
"DDX5","ENSG00000108654","protein_coding","DDX5","13"
"DDX59","ENSG00000118197","protein_coding","DDX59","4"
"DEK","ENSG00000124795","protein_coding","DEK","1"
"DENND1A","ENSG00000119522","protein_coding","DENND1A","7"
"DENND4A","ENSG00000174485","protein_coding","DENND4A","3"
"DENND4C","ENSG00000137145","protein_coding","DENND4C","5"
"DENND5A","ENSG00000184014","protein_coding","DENND5A","1"
"DENND5B","ENSG00000170456","protein_coding","DENND5B","4"
"DERA","ENSG00000023697","protein_coding","DERA","9"
"DGKD","ENSG00000077044","protein_coding","DGKD","6"
"DHX15","ENSG00000109606","protein_coding","DHX15","2"
"DHX33","ENSG00000005100","protein_coding","DHX33","1"
"DHX34","ENSG00000134815","protein_coding","DHX34","1"
"DHX8","ENSG00000067596","protein_coding","DHX8","4"
"DHX9","ENSG00000135829","protein_coding","DHX9","2"
"DIS3","ENSG00000083520","protein_coding","DIS3","3"
"DISP1","ENSG00000154309","protein_coding","DISP1","1"
"DKK2","ENSG00000155011","protein_coding","DKK2","4"
"DLEU1","ENSG00000176124","protein_coding","DLEU1","24"
"DLEU2","ENSG00000231607","processed_transcript","DLEU2","1"
"DLST","ENSG00000119689","protein_coding","DLST","1"
